City,IATA_code,Airport_name
A Coruña,LCG,A Coruña Airport (Alvedro Airport) 
Albacete,ABC,Albacete Airport
Algeciras,AEI,Algeciras Heliport 
Alicante,ALC,Alicante-Elche Airport (formerly El Altet Airport) 
Almería,LEI,Almería Airport 
Asturias,OVD,Asturias Airport 
Badajoz,BJZ,Badajoz Airport (Talavera la Real Badajoz Airport) 
Barcelona (El Prat),BCN,Barcelona–El Prat Airport 
"Bilbao, Biscay",BIO,Bilbao Airport 
Burgos,RGS,Burgos Airport 
Ceuta,JCU,Ceuta Heliport 
Córdoba,ODB,Córdoba Airport 
El Hierro,VDE,El Hierro Airport 
Fuerteventura,FUE,Fuerteventura Airport (El Matorral Airport) 
Girona,GRO,Girona–Costa Brava Airport 
Gran Canaria,LPA,Gran Canaria Airport (Las Palmas) 
Granada / Jaén,GRX,Federico García Lorca Airport 
Huesca,HSK,Huesca-Pirineos Airport 
Ibiza,IBZ,Ibiza Airport 
"Jerez de la Frontera, Cádiz",XRY,Jerez Airport 
La Gomera,GMZ,La Gomera Airport 
La Palma,SPC,La Palma Airport 
Lanzarote,ACE,Lanzarote Airport (Arrecife Airport) 
León,LEN,León Airport 
Logroño,RJL,Logroño-Agoncillo Airport 
Madrid,MAD,Madrid–Barajas Airport 
Madrid,MCV,Madrid-Cuatro Vientos Airport 
Majorca,PMI,Palma de Mallorca Airport (Son Sant Joan Airport) 
Majorca,SBO,Son Bonet Airport 
Melilla,MLN,Melilla Airport 
Menorca,MAH,Menorca Airport 
Málaga,AGP,Málaga Airport 
Pamplona,PNA,Pamplona-Nóain Airport 
Region of Murcia,RMU,Región de Murcia International Airport 
"Reus, Tarragona",REU,Reus Airport 
Sabadell,QSA,Sabadell Airport 
Salamanca,SLM,Salamanca Airport
"San Sebastián, Gipuzkoa",EAS,San Sebastián Airport (Fuenterrabia Airport) 
Santander,SDR,Santander Airport (Parayas Airport) 
Santiago de Compostela,SCQ,Santiago de Compostela Airport (Lavacolla Airport) 
Seville (Sevilla),SVQ,Seville Airport (San Pablo Airport) 
Tenerife,TFN,Tenerife North Airport (Los Rodeos Airport) 
Tenerife,TFS,Tenerife South Airport (Reina Sofía Airport) 
Valencia,VLC,Valencia Airport 
Valladolid / Villanubla,VLL,Valladolid Airport (Villanubla Airport) 
Vigo,VGO,Vigo-Peinador Airport 
Vitoria-Gasteiz / Foronda,VIT,Vitoria Airport (Foronda Airport) 
Zaragoza,ZAZ,Zaragoza Airport 
